,Rank,Num Serre,Scenario,Month Index,CA_expr,CMO_expr,CV_expr,Secteur
4992,209,1,11,47,40576721.942477986,5496280.060792582,25218232.320000008,1
4993,209,2,11,47,40576721.942477986,5496280.060792582,25218232.320000008,1
4994,209,3,11,47,40576721.942477986,5496280.060792582,25218232.320000008,1
4995,209,4,11,47,40576721.942477986,5496280.060792582,25218232.320000008,1
4996,209,5,11,47,40576721.942477986,5496280.060792582,25218232.320000008,1
4997,209,6,11,47,40576721.942477986,5496280.060792582,25218232.320000008,1
4998,209,7,3,35,40576721.942477986,5496280.060792582,25218232.320000008,2
4999,209,8,3,35,40576721.942477986,5496280.060792582,25218232.320000008,2
5000,209,9,3,35,40576721.942477986,5496280.060792582,25218232.320000008,2
5001,209,10,3,35,40576721.942477986,5496280.060792582,25218232.320000008,2
5002,209,11,3,35,40576721.942477986,5496280.060792582,25218232.320000008,2
5003,209,12,15,20,40576721.942477986,5496280.060792582,25218232.320000008,3
5004,209,13,15,20,40576721.942477986,5496280.060792582,25218232.320000008,3
5005,209,14,15,20,40576721.942477986,5496280.060792582,25218232.320000008,3
5006,209,15,15,20,40576721.942477986,5496280.060792582,25218232.320000008,3
5007,209,16,15,20,40576721.942477986,5496280.060792582,25218232.320000008,3
5008,209,17,15,20,40576721.942477986,5496280.060792582,25218232.320000008,3
5009,209,18,11,48,40576721.942477986,5496280.060792582,25218232.320000008,4
5010,209,19,11,48,40576721.942477986,5496280.060792582,25218232.320000008,4
5011,209,20,11,46,40576721.942477986,5496280.060792582,25218232.320000008,5
5012,209,21,11,46,40576721.942477986,5496280.060792582,25218232.320000008,5
5013,209,22,11,48,40576721.942477986,5496280.060792582,25218232.320000008,6
5014,209,23,11,48,40576721.942477986,5496280.060792582,25218232.320000008,6
5015,209,24,11,48,40576721.942477986,5496280.060792582,25218232.320000008,6
5016,210,1,3,35,40742807.37437815,5510337.814943504,25370687.999999996,1
5017,210,2,3,35,40742807.37437815,5510337.814943504,25370687.999999996,1
5018,210,3,3,35,40742807.37437815,5510337.814943504,25370687.999999996,1
5019,210,4,3,35,40742807.37437815,5510337.814943504,25370687.999999996,1
5020,210,5,3,35,40742807.37437815,5510337.814943504,25370687.999999996,1
5021,210,6,3,35,40742807.37437815,5510337.814943504,25370687.999999996,1
5022,210,7,15,22,40742807.37437815,5510337.814943504,25370687.999999996,2
5023,210,8,15,22,40742807.37437815,5510337.814943504,25370687.999999996,2
5024,210,9,15,22,40742807.37437815,5510337.814943504,25370687.999999996,2
5025,210,10,15,22,40742807.37437815,5510337.814943504,25370687.999999996,2
5026,210,11,15,22,40742807.37437815,5510337.814943504,25370687.999999996,2
5027,210,12,11,46,40742807.37437815,5510337.814943504,25370687.999999996,3
5028,210,13,11,46,40742807.37437815,5510337.814943504,25370687.999999996,3
5029,210,14,11,46,40742807.37437815,5510337.814943504,25370687.999999996,3
5030,210,15,11,46,40742807.37437815,5510337.814943504,25370687.999999996,3
